SEED,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,YEAR
NA,Rider,MAAC,32,19,104,105,0.478,50.3,49.4,19.9,20.3,32.2,33.6,33.1,35.1,48.9,48,35.3,34.7,67.8,-6.7,NA,2009
NA,Boston University,AE,30,17,102,103,0.478,50.5,48.3,20.6,20.5,32.8,34.7,35.1,32.1,47.6,48.1,36.1,32.5,63.2,-8.6,NA,2009
NA,Long Beach St.,BW,30,15,104,105,0.478,51.3,51.7,20.7,19.9,31,32.2,37.6,38.6,52.3,50.1,33,36.4,65.9,-8.1,NA,2009
NA,Fairfield,MAAC,32,17,102,103,0.477,47.8,48.7,20.3,19.6,33,34.3,36,33.2,46.7,49.1,33.3,31.9,63.9,-7.1,NA,2009
NA,Nicholls St.,Slnd,28,17,101,101,0.474,53.7,51.3,22.7,26,27.3,31.1,40.2,46.2,53.8,52.1,35.7,33.2,59.5,-5.9,NA,2009
NA,Ohio,MAC,32,15,100,101,0.469,50.1,50.4,21.1,22.4,28.9,32.3,39.6,39.4,47.8,50.4,36.2,33.7,65.2,-1,NA,2009
NA,South Alabama,SB,32,19,102,103,0.468,51.2,46.7,21.1,16.5,37.2,31.4,41.8,33.5,49.7,42.5,37.6,36.6,63.6,-7.6,NA,2009
NA,Montana,BSky,27,15,103,104,0.465,51,47.5,18.7,18,28,32,37.1,39.5,48.6,44.6,37.4,36.3,62.1,-7.1,NA,2009
NA,George Washington,A10,28,10,101,103,0.462,49.4,47.7,22.2,18.7,34,35,38.5,37.5,47.2,45.2,36.2,34.2,63.5,-11,NA,2009
NA,Holy Cross,Pat,32,18,98.2,99.7,0.456,47.2,47.9,24.3,23.2,39.9,28.1,37.2,48.5,47.3,46.5,31.4,33.8,64.7,-9.8,NA,2009
NA,Hofstra,CAA,31,20,97,98.5,0.454,44,44.9,22.3,19.9,39.4,31.8,38.1,45.7,42.5,42,31.6,34.1,67,-5.1,NA,2009
NA,Sacred Heart,NEC,31,17,104,105,0.452,55.2,48.7,22.9,21.7,32.6,34.8,26,34.3,53.1,48.6,39.4,32.6,68.5,-9.8,NA,2009
NA,Troy,SB,31,18,107,109,0.449,53.3,52.9,17.3,19.4,30.5,33.4,31,29.5,51.4,50.8,37.6,37.4,69.8,-6.6,NA,2009
NA,Indiana St.,MVC,31,10,103,104,0.449,48.5,49.9,21.9,19.4,29.1,34.5,35.1,42.3,45.1,48.1,35.3,35.8,63.5,-12,NA,2009
NA,Idaho St.,BSky,31,12,102,104,0.449,50.3,49.4,20.3,19,30.6,32.8,38.2,44.3,50.3,47.9,33.5,34.7,62.6,-11,NA,2009
16,Radford,BSth,30,18,100,101,0.449,49.8,46.9,22.6,16.8,35.3,29.1,42.8,30.1,49.1,44.9,34.5,33.5,68.9,-6.4,R64,2009
NA,IUPUI,Sum,27,13,102,104,0.448,51.8,53.1,19.9,21.9,30.6,30.9,35,28.9,52,49.4,34.3,39,61.3,-8.7,NA,2009
NA,VMI,BSth,28,20,106,108,0.447,52.3,55.6,16.2,27.2,27.2,42.1,32.9,30.6,52.3,56.9,34.8,34.8,80.3,-4.8,NA,2009
NA,Manhattan,MAAC,30,16,96.8,98.6,0.447,44.6,48.6,20.7,21.3,34.6,28.8,44.5,39.7,43.5,47.1,31.5,34.3,65.5,-9.3,NA,2009
NA,Stony Brook,AE,29,15,96.6,98.4,0.446,46.1,48.8,20.1,23.6,32.1,29.1,35.7,36.9,43.7,50.2,34.4,31.1,63.5,-10,NA,2009
NA,Georgia,SEC,32,12,95.6,97.4,0.444,46.7,48.2,24.6,20.9,34.1,33.1,30.2,28.3,44.6,47.5,34.2,33,68.2,-9.6,NA,2009
NA,St. Bonaventure,A10,30,15,98.2,100,0.443,49.2,47.2,23.6,19.6,34.6,31.4,37,39.1,49.8,46.2,31.5,32.9,70.3,-8.7,NA,2009
NA,San Jose St.,WAC,28,11,102,104,0.441,47.9,51,21.8,19.4,36.4,33.1,36.8,30.9,48.9,49.8,29.7,35.7,66.3,-10,NA,2009
NA,DePaul,BE,33,9,101,103,0.438,45.5,51.9,18.9,19.4,33.3,38.2,31.7,25.7,46.1,51,29.6,35.7,65.2,-10,NA,2009
NA,Missouri St.,MVC,31,11,99,101,0.438,46.2,49.8,20.8,21.1,32,30.9,38,43.1,45.3,49,31.8,34.5,62.3,-12,NA,2009
NA,Hawaii,WAC,30,13,96.8,99,0.433,45.9,48.5,23.4,21,39.9,33,44.8,39.7,46.8,46.7,28.6,35.2,64.5,-11,NA,2009
NA,The Citadel,SC,31,18,100,103,0.432,50.7,48.3,20,18.6,31.1,29.5,34.1,36.1,50.6,48,34,32.7,62.3,-7.4,NA,2009
NA,Austin Peay,OVC,31,17,106,108,0.43,52.9,52.3,19.5,19.8,32,33.2,37.4,39.6,52,51.2,36.5,36.1,67.2,-7.6,NA,2009
NA,SMU,CUSA,29,8,102,104,0.429,48.6,48.8,22.9,18.6,34.8,33.2,31.2,33.8,46.4,46.2,35.6,35.8,64,-12,NA,2009
NA,Cal St. Fullerton,BW,31,14,104,107,0.419,49.8,51.8,18.9,21.5,32.1,38.3,32.5,33.2,49.1,50,34,36.9,67.7,-10,NA,2009
NA,Indiana,B10,30,5,98.8,101,0.419,47.9,54.6,27,21.4,32.6,32.6,37.4,36.5,46.9,53.2,33.3,38.1,66,-11,NA,2009
NA,Southeastern Louisiana,Slnd,26,9,100,103,0.417,50,47,20.3,19.7,30.5,33.5,32.9,42.9,50.4,43.5,32.8,37,65.2,-11,NA,2009
NA,Fresno St.,WAC,33,12,99.6,102,0.413,50.2,49.1,21.2,19.9,30.1,35.3,36.5,30.9,49.2,48.8,34.5,33.2,66.6,-13,NA,2009
16,Alabama St.,SWAC,30,20,98.9,102,0.411,51,43.3,20.5,19.7,34.2,35.9,35.9,33.8,52.2,42.8,32.3,29.7,64.1,-5,R68,2009
NA,East Carolina,CUSA,27,10,110,113,0.411,51.5,51,18.1,14.5,30.7,35.1,36.5,34.5,47.4,50.9,38.2,34.1,65,-1,NA,2009
NA,Northern Colorado,BSky,30,12,102,105,0.411,52.4,53.8,22.9,20.5,30.5,28.9,44.7,36.1,48.2,50.8,40.3,39.5,66.8,-1,NA,2009
NA,Denver,SB,31,15,101,104,0.409,57,49.4,22.1,22.2,18.8,33,36.1,49.3,57.5,50,37.7,31.9,56.8,-11,NA,2009
NA,UTSA,Slnd,29,16,101,104,0.408,48.2,52.6,19,23.5,30.2,32.7,39.1,30.2,46.1,54.3,34.2,32.4,69,-8.1,NA,2009
NA,Iona,MAAC,31,12,94.4,97.7,0.402,47,47.9,23.7,23.8,32.1,30.7,47.5,41.4,45.5,47.3,33.2,32.6,64.1,-12,NA,2009
NA,Liberty,BSth,31,19,104,108,0.401,52.1,50.7,19.1,20.8,29.9,35,36.2,26.1,51.8,50,35,34.4,64.9,-7,NA,2009
NA,Delaware,CAA,32,13,102,106,0.396,47.8,49.3,19.1,19.1,28.6,33,37.9,34.3,46.6,48.7,33.2,33.8,67.3,-13,NA,2009
NA,Texas St.,Slnd,26,10,101,105,0.393,49.7,51.1,21.4,22.5,34,31,38.8,57.6,48,50.2,35.3,35.3,74.1,-11,NA,2009
NA,Air Force,MWC,29,8,98.5,102,0.383,50.9,49.8,22.7,19.4,24.4,30.3,42.3,41.4,47.8,48.1,37.1,34.6,58.2,-12,NA,2009
NA,UC Irvine,BW,30,12,104,108,0.377,49.4,52.1,18,18.4,27.3,31.7,31.9,37.9,43.9,50.9,40.7,36.5,62.6,-12,NA,2009
NA,Lamar,Slnd,26,11,99.8,104,0.374,46.3,49.6,19.8,19,31.9,31.4,42.8,38,46.9,48.2,29.9,35,66.8,-9.1,NA,2009
NA,Valparaiso,Horz,29,7,99,103,0.372,47.5,50.9,23.6,22.3,31.5,34.1,36.1,50.3,46.3,48.5,32.9,36.4,63.8,-1,NA,2009
NA,Mercer,ASun,31,16,104,109,0.369,49,49.9,22,18.2,37,34.9,38.8,33.8,48.6,48,33.2,35.6,67.4,-8.3,NA,2009
16,Chattanooga,SC,33,16,103,107,0.369,50.4,52.7,21.5,19.3,33,31.8,46.3,31,49.5,51.3,34.5,36.3,70.1,-9.3,R64,2009
NA,UC Davis,BW,32,13,104,109,0.369,53.2,52.4,20.5,18.8,25.7,31,37.9,40,52.5,52.3,36.2,35.1,69.5,-1,NA,2009
NA,Youngstown St.,Horz,28,9,100,105,0.366,45.7,49.2,20.4,18.8,34.4,34.1,37.1,41,43.7,48,33.9,34.5,66.3,-12,NA,2009
NA,South Dakota St.,Sum,31,11,103,108,0.363,49.7,52.1,19.8,17.3,34,32.3,33.4,32.8,49.2,53.3,33.8,32.8,64.8,-13,NA,2009
NA,UC Riverside,BW,29,16,96.6,101,0.36,48.2,51.2,21.7,22.4,33.9,28,30.4,33.7,44.7,50.3,37.4,34.9,60.4,-8.3,NA,2009
NA,Loyola Chicago,Horz,31,14,98.9,104,0.355,45,49.6,20.2,21.9,35.9,36.2,32.7,33.7,44,48.1,31.7,35.1,63.9,-10,NA,2009
NA,Navy,Pat,30,19,97,102,0.355,47.4,46.2,19.4,20.4,27.4,29.9,38,38.7,46.3,45.6,32.9,31.6,69.6,-7.3,NA,2009
NA,Rice,CUSA,32,10,98.8,104,0.353,48.9,50.4,20.2,18.1,27.7,34.4,33.3,37,44.6,48.1,38.2,36.7,63.8,-12,NA,2009
NA,Georgia St.,CAA,30,10,97.7,103,0.35,46.8,50,20,20.8,30.8,33,30,35.2,46.3,49.3,31.8,34.1,60.6,-13,NA,2009
NA,IPFW,Sum,29,12,100,106,0.348,49.4,51.5,19.9,19,26.2,32.9,36.4,37,44.3,52.1,40.8,33.5,65.2,-9.9,NA,2009
NA,Canisius,MAAC,31,11,93.5,98.8,0.347,45.3,44.3,23.7,19.1,34,34.5,33.9,40.7,46.4,43.6,28.7,30.5,66.8,-13,NA,2009
NA,William & Mary,CAA,29,9,95.3,100,0.343,47.2,48.7,22.3,19.8,31.5,31.2,31.5,31.7,47.8,47.8,31,33.5,61.5,-14,NA,2009
NA,Loyola MD,MAAC,32,12,101,108,0.337,44.1,48.4,19.8,19.9,35.7,36.6,36.5,49.7,42.6,48.1,31.5,32.8,65.9,-12,NA,2009
NA,Wofford,SC,29,15,106,112,0.335,51.1,53.4,21,19.7,37.2,34.2,38.9,29.2,49.7,51.7,36,37.6,61.5,-9.2,NA,2009
NA,San Francisco,WCC,28,9,104,110,0.335,49.1,53.6,19.7,19.6,29.5,33.7,39.7,36.8,46.7,52,35.4,37.7,64.9,-11,NA,2009
NA,Southern Utah,Sum,29,10,100,106,0.333,50.8,53.7,23.1,20.7,31.3,28.7,39.4,38.9,48.8,55.7,37.9,33,63.1,-1,NA,2009
NA,Arkansas St.,SB,28,11,95,100,0.333,46.3,47.6,20.4,19.9,32.3,29.9,33.4,32.1,45.9,44.8,31.4,36.4,64.7,-12,NA,2009
NA,Campbell,ASun,28,12,95.6,101,0.329,47.6,50.4,22.8,22.5,35.1,32.5,39.9,40.5,45.9,50.2,34.5,34,68.5,-12,NA,2009
NA,Montana St.,BSky,30,13,100,106,0.323,47.1,52,20.4,17.9,33.9,29.4,39.9,36.1,46.5,51.2,32.1,35.7,65,-11,NA,2009
NA,Ball St.,MAC,31,14,94.1,100,0.321,45.4,46.5,21.1,19.1,31.2,29.6,38.4,38,43.5,46.7,33.9,30.6,61.1,-1,NA,2009
NA,LIU Brooklyn,NEC,30,16,99.9,106,0.316,46.4,49,19.1,19.4,35.5,29.6,42.5,32.4,44.2,48.2,33.9,33.7,67.8,-11,NA,2009
NA,Central Michigan,MAC,31,12,98,104,0.314,47.3,50,22.3,23.8,34.6,33.5,37.8,57.4,45.8,48.5,33.6,35.8,63.3,-13,NA,2009
NA,Tennessee Tech,OVC,28,10,97.3,104,0.313,49.3,50.1,21.9,22.4,34.1,36.3,33.3,44.4,47,48.7,36.2,35.7,71.6,-13,NA,2009
NA,McNeese St.,Slnd,27,9,93.6,100,0.312,46.4,44.4,23.8,18,34.6,32.5,32.6,31.6,45.4,41.9,32.6,33,65.2,-13,NA,2009
NA,Chicago St.,ind,30,17,105,112,0.312,51.3,52.9,19.9,22.7,37.2,34.1,37.6,45,51.6,51.3,33.8,37.4,74.8,-8.1,NA,2009
NA,Western Carolina,SC,29,14,99.5,106,0.311,49.6,54.5,21.1,23.8,36.7,34,32.4,52.1,47.9,52.2,35.1,39,67.9,-9.8,NA,2009
NA,Northern Arizona,BSky,25,6,100,107,0.307,53.6,55.7,22.6,20.3,30,28.4,30.9,34.9,53.8,51.6,35.5,42.2,62.8,-13,NA,2009
NA,Albany,AE,31,15,96.5,103,0.306,45.5,49.2,23.1,18.8,38.6,25,34.4,43.5,46,49.8,29.4,32.1,65,-10,NA,2009
NA,Louisiana Lafayette,SB,29,9,97.5,104,0.304,47,50.7,20.5,21,31.6,35.1,33.6,46.6,46.4,48.9,31.9,36.8,66,-14,NA,2009
NA,Yale,Ivy,27,12,94.7,101,0.302,47.7,49.5,23.6,22.5,31.1,29.4,40.8,38.4,48.7,48.9,29.8,33.9,65.9,-10,NA,2009
NA,Gardner Webb,BSth,27,10,100,107,0.301,49.1,51.2,20.4,19.4,34.1,33,31.5,38.4,47.2,51.7,34.8,33.5,68.4,-11,NA,2009
NA,Samford,SC,30,14,99.9,107,0.299,55,50.8,21.6,22.6,21.6,37.2,35.4,30.4,57,50.9,35.3,33.7,58.6,-11,NA,2009
NA,Eastern Washington,BSky,28,11,96.9,104,0.298,47,51.6,19.5,19.1,30.1,28.8,30.4,43.6,46,51.2,32.8,34.9,64.1,-10,NA,2009
NA,Marist,MAAC,33,10,93.1,100,0.296,47.1,46.1,22.2,18.2,26.1,31.1,33.9,42,43,45.2,36,32.3,67.2,-16,NA,2009
NA,Harvard,Ivy,27,13,101,109,0.295,52.4,51.2,21.7,21.3,26.8,34.7,42.3,32.9,51.4,50,36.2,36.2,65.5,-10,NA,2009
NA,Western Michigan,MAC,31,10,97.5,105,0.294,45.5,47.3,20.6,18.8,30.7,32.2,40,39.1,44.7,45.6,31.1,33.8,63.9,-15,NA,2009
NA,Jackson St.,SWAC,33,18,97.2,105,0.29,47.1,49.8,22.3,22,36.1,32.5,42.9,40.1,49.7,48.9,26.8,34.5,68.2,-8.2,NA,2009
NA,Towson,CAA,34,12,100,108,0.29,45.7,50,18.9,18.8,33.4,36.8,33.4,34.6,45.2,50.6,31.2,32.5,66.2,-14,NA,2009
NA,Stetson,ASun,28,11,95.6,103,0.287,44.7,50.1,20.5,21.3,33.3,33.1,29.9,39.3,43.2,49.7,31.3,34,67,-10,NA,2009
NA,Centenary,Sum,31,8,94.8,102,0.285,47,51.1,20.1,23.3,26,37.2,31.9,49.6,44,50,34.5,35.7,66.2,-14,NA,2009
NA,Appalachian St.,SC,30,12,101,109,0.285,51.3,51.4,24.4,17,37.4,28.4,41.1,40.4,49.1,50.5,36.9,35.6,69.4,-13,NA,2009
NA,FIU,SB,31,12,97,105,0.284,47.4,50.5,22.6,19.1,32.2,32.5,38.9,36.1,44.5,49.2,35.7,35.4,64.6,-12,NA,2009
NA,Princeton,Ivy,26,12,95.5,103,0.282,50,44.7,22.3,19.9,26.3,30.7,30,42.9,46.2,45.1,37.4,29.1,57.8,-11,NA,2009
NA,UMBC,AE,31,14,101,109,0.28,46.3,51.5,15.2,18.1,28.4,33.3,33.8,30.9,46.2,50.2,31,35.9,63.5,-11,NA,2009
NA,Cal Poly,BW,27,7,97.4,105,0.279,46.5,51.9,17.7,19.7,28.6,33.5,30.5,30.4,44.1,49.7,33.9,37.5,65.7,-15,NA,2009
NA,New Hampshire,AE,29,13,96.1,104,0.277,45,48.9,20.5,18.8,33.1,27.9,31.5,48.7,42.6,48.6,32.1,33,62.6,-11,NA,2009
NA,Saint Peter's,MAAC,30,11,93.4,101,0.276,44.4,47.4,23.6,24.4,35.4,37.6,38.4,43.8,41.7,46.1,34.3,33.1,63,-14,NA,2009
NA,Presbyterian,BSth,29,12,91.2,99.6,0.266,48.1,49.2,25.5,20.8,29.5,31.7,36,32.4,48.7,49.1,31.4,33,61.5,-11,NA,2009
NA,Jacksonville St.,OVC,26,9,99.2,108,0.265,48,52.1,20.3,19.7,35.5,32.2,40.6,37.7,44.6,51,37.6,36.5,64.7,-12,NA,2009
NA,Lehigh,Pat,29,15,92.4,101,0.264,43.4,44.8,19.8,19.6,31.7,27.6,38.9,34.4,41.4,42.6,32,32.4,66.8,-11,NA,2009
NA,Penn,Ivy,28,10,95.7,104,0.263,47.1,49.8,20.8,21.3,28.8,32,38.9,39.9,47.1,47.3,31.4,36.9,67.5,-12,NA,2009
NA,Cal St. Bakersfield,ind,28,8,98.7,108,0.26,45.1,52.1,19.6,21.1,34,37.7,36,37.3,43.2,49.5,32.3,38.7,65.3,-14,NA,2009
NA,Coppin St.,MEAC,31,12,98.3,107,0.256,45.8,50.8,19.2,24.2,29.7,40,31.1,31.4,43.8,51.4,33.7,33.3,64.4,-11,NA,2009
NA,UNC Asheville,BSth,28,12,100,110,0.247,50.3,52.6,22.5,19.8,31.3,37.3,36.6,34.8,47.8,51.3,36.6,36.8,68.5,-10,NA,2009
NA,Columbia,Ivy,28,12,91.4,100,0.241,45.1,46.2,21.6,23.2,30.9,31.4,34.9,40,44,46.5,31.7,30.6,64.4,-12,NA,2009
NA,South Carolina St.,MEAC,27,13,96.6,106,0.239,48.8,47.2,25.3,18.8,36.8,30.8,37.6,32.3,49.3,47,31.5,31.8,68.3,-11,NA,2009
NA,Wagner,NEC,30,16,96.5,106,0.239,51.5,49.8,22.1,22.1,30.2,32,36.4,35.4,48.1,48.5,38.4,35,66.9,-1,NA,2009
NA,Tennessee St.,OVC,28,11,100,111,0.235,49.7,51.8,22.2,19.1,34.3,36.3,39.3,38.8,49.7,52.5,33.2,33.6,69.1,-12,NA,2009
NA,Detroit,Horz,29,6,90.2,100,0.232,45,50.2,26.4,21.8,32.8,32.9,39.3,45.6,45.9,47.6,28.1,37,63.9,-15,NA,2009
NA,Hampton,MEAC,31,15,85.1,94.6,0.228,41.9,44.7,25.4,26.3,36.1,36.2,37.6,35.4,43.2,43.8,26.4,30.9,64,-12,NA,2009
NA,Winthrop,BSth,29,10,91.7,101,0.228,44.6,48.8,20.6,20,32.3,33.6,26.4,37.7,45.5,47.1,28.2,34.3,62.3,-13,NA,2009
NA,Eastern Illinois,OVC,28,10,95.6,106,0.226,48.8,50.5,20.5,19,31.5,31.9,32.7,33.6,47,47.3,35.8,36.8,62,-14,NA,2009
NA,Quinnipiac,NEC,31,15,96.4,107,0.224,47.1,49.5,21.8,20.5,40.9,31,36.9,36.8,46.9,46.8,31.7,37.2,64.7,-13,NA,2009
NA,Florida Atlantic,SB,32,6,100,112,0.216,46.3,50.5,18.7,16.7,32.2,35.4,33,38.2,45.2,50.6,32.5,33.4,64.5,-19,NA,2009
NA,New Orleans,SB,28,10,91.6,102,0.215,47.1,50.1,22.7,21.9,29.3,33.2,40.8,34.4,48,49.2,29.4,34.7,65.5,-13,NA,2009
NA,UMKC,Sum,30,7,98.3,110,0.21,45.8,52.7,19.4,19.1,31.7,32.2,34.9,46.1,45.7,54.1,30.6,33.1,66.5,-16,NA,2009
NA,USC Upstate,ASun,30,9,92.4,103,0.209,45.5,48.4,23.8,19.4,32.1,35.7,32.9,32.8,44.7,44.4,31.6,37.5,63.1,-14,NA,2009
NA,Army,Pat,30,11,87.4,98.3,0.205,46.7,48.4,23.4,27,24.8,34,29.2,38.4,45.2,46.9,33.7,33.8,63.4,-15,NA,2009
NA,Elon,SC,29,9,95.2,107,0.202,48.4,52.5,20.7,19.7,28.2,32.9,33.3,36.8,46.6,52.6,34.9,34.9,64.1,-14,NA,2009
NA,Northern Illinois,MAC,29,9,94.6,106,0.202,47.7,50.4,23.3,22.5,34.4,33.5,40.2,43.2,45.9,47.9,34.4,37.2,68.9,-16,NA,2009
NA,Pepperdine,WCC,30,7,91.8,103,0.196,42.7,51.9,23.2,19.7,33,33.5,27.5,37.2,41.3,51.6,30.7,35,67.5,-14,NA,2009
NA,Coastal Carolina,BSth,27,8,95.3,107,0.195,49.5,50.3,23.7,20.5,34.8,34.7,31.4,34.4,49.5,49.1,33,34.6,66.1,-15,NA,2009
NA,Maine,AE,29,8,97.5,110,0.194,47.5,50,22.5,19.2,31.3,37.1,39.8,31.6,46.4,51.6,33.2,31.4,65.1,-16,NA,2009
NA,Louisiana Monroe,SB,29,9,96.1,108,0.191,44.8,51.6,22.6,19.3,33.2,33.7,40.2,39.4,42.5,49.7,33.2,37.8,67.5,-15,NA,2009
NA,Central Connecticut,NEC,30,13,96.9,109,0.191,48.7,51.4,22,20.3,34.2,35.6,32.9,27.1,49.1,51.8,31.6,33.8,63.9,-12,NA,2009
NA,Bucknell,Pat,30,7,93.2,105,0.187,44.4,46.5,20,16.4,27.4,29.8,29.9,40.3,40.6,46.3,34.3,31.2,67.6,-17,NA,2009
NA,Prairie View A&M,SWAC,29,13,93.7,106,0.185,45.9,49.8,21.2,22.4,34.1,34.7,39,39.9,45.5,48.4,31.2,35.3,67.6,-11,NA,2009
NA,Bethune Cookman,MEAC,30,14,87.7,100,0.18,43.2,47.8,22.6,23.9,35.4,29,38.4,47.9,43.7,47.7,28,32,60.5,-12,NA,2009
NA,St. Francis NY,NEC,30,10,94.6,108,0.18,49.6,49.1,23.1,20.7,29,35.9,33.6,44.5,45.6,47.8,36.4,34.8,66.9,-15,NA,2009
NA,Florida Gulf Coast,ASun,30,10,92,105,0.18,45.6,49.3,24.8,21.7,31.1,35.6,43.5,40.7,43.3,49.5,33.7,32.7,69.4,-14,NA,2009
NA,Western Illinois,Sum,28,8,96.3,110,0.175,48.8,52.8,21.5,19.9,29.3,33.7,30.2,42.8,44.3,50.5,40.2,38.7,59.1,-1,NA,2009
NA,UNC Wilmington,CAA,32,7,98.5,112,0.174,48.3,57.3,19.2,19.5,26.2,33,29.4,32,47.1,58.7,33.4,36.5,71.3,-17,NA,2009
NA,Toledo,MAC,31,6,91.9,105,0.174,46.5,49.5,26.2,21,32.2,36.4,33.8,35.6,47.4,48.3,29.5,34.5,65.2,-18,NA,2009
NA,Norfolk St.,MEAC,31,13,96.3,110,0.171,47.7,49.9,22.2,23.1,34.3,36.5,37.5,43.2,46.9,48.7,33.3,35,70.7,-14,NA,2009
NA,Brown,Ivy,28,9,94,107,0.169,48.4,51.5,22.2,16.1,25.9,27.5,37.9,25,48.9,48.2,31.7,38.8,64.6,-14,NA,2009
NA,North Carolina A&T,MEAC,29,13,90.9,104,0.168,47.5,48.1,25.7,23.7,34.2,36.6,31,33.8,45.7,50.1,33.9,29.9,69.8,-11,NA,2009
NA,Eastern Michigan,MAC,30,6,89.5,103,0.161,43.8,50.6,25,21.1,32.7,32.5,34.7,33.1,43.3,48.9,29.9,36.3,62.4,-1,NA,2009
NA,Dartmouth,Ivy,27,8,93.5,107,0.161,45,50.4,21,21,30.1,32.8,31.3,42.9,42.9,47.9,33.6,38.6,65.3,-15,NA,2009
NA,Arkansas Pine Bluff,SWAC,31,13,88,101,0.159,43.6,48,27.1,23.5,37,34.6,36.7,52.3,43.8,47.1,28.8,33.4,69.4,-11,NA,2009
NA,High Point,BSth,27,6,90.8,105,0.158,46.1,49.5,24.3,20.4,35.9,33.9,27.4,35.2,46.5,48.7,30.1,33.8,64.2,-17,NA,2009
NA,Georgia Southern,SC,29,7,97.1,112,0.157,48.9,54.2,20.8,19.7,31.5,37,30,42.7,47.6,52.4,34.1,38.4,69.4,-16,NA,2009
NA,Charleston Southern,BSth,26,6,96.6,112,0.152,47.8,52,19.8,16.2,32.4,29.2,26.7,33.5,47.7,51.6,32.1,35.2,65,-16,NA,2009
NA,Savannah St.,ind,25,11,86,100,0.145,43.5,49.6,26.2,25.6,31.5,32.2,34.3,44.8,42,49.8,31.9,32.7,64.3,-8.2,NA,2009
NA,Colgate,Pat,30,10,90.3,105,0.144,45.3,46.4,23.3,19,28.1,35.1,37.9,34.4,44.2,45.8,31.7,31.8,61,-15,NA,2009
NA,Hartford,AE,33,7,90.5,106,0.137,47,52.6,21.1,21.7,24.1,33,28.2,45.2,47.4,51,31,36.6,64,-19,NA,2009
NA,Longwood,ind,27,13,96.3,113,0.132,47.5,52.3,19.2,26.1,29.2,39.5,32.1,44.8,47.3,54.1,31.9,31.5,74.4,-9.9,NA,2009
NA,SIU Edwardsville,ind,15,3,86.9,102,0.132,45,51.3,23.5,19.5,19.7,36,29.9,41.4,43.1,50.1,32.5,36.8,72,-7.5,NA,2009
NA,Lafayette,Pat,30,8,94.2,111,0.129,47.4,52.7,24.1,22.3,29.5,34.2,34.2,37.4,47.5,52.4,31.5,35.4,69.4,-18,NA,2009
NA,Loyola Marymount,WCC,30,3,89.7,106,0.127,39.9,54.3,22.2,21.6,31.3,37.6,34.2,34.2,38.6,51.1,28.4,39.5,64.7,-18,NA,2009
NA,Delaware St.,MEAC,30,7,95.9,113,0.125,48.1,50.8,24.9,20.3,33.8,39.3,26.8,37.5,46.3,49.5,34.3,35.7,58.8,-16,NA,2009
NA,Fordham,A10,28,3,92.8,110,0.121,43.1,55.2,18.3,21.4,27.3,38.8,30.9,41.2,42.4,52.9,29.7,39.8,67.2,-17,NA,2009
NA,Central Arkansas,Slnd,25,6,93.7,111,0.121,42.9,51.2,21.1,18.2,30.2,35.7,43.8,38.3,41.1,51,31.3,34.5,64.7,-14,NA,2009
NA,Northwestern St.,Slnd,28,8,91.1,108,0.12,43.3,52.5,24.9,21.8,37.4,35,37.8,46.4,43.8,50.7,28,37.5,74.5,-14,NA,2009
NA,UNC Greensboro,SC,29,4,93.4,111,0.111,44.7,51.3,22.4,18.2,35.2,38.7,36.5,34.8,43.8,51.5,31.1,34,65.1,-20,NA,2009
NA,Furman,SC,28,4,91.1,109,0.109,45.3,53.7,21.6,19.6,29.6,34.7,34,44.5,44.7,52.4,31,37.4,63.4,-1,NA,2009
NA,St. Francis PA,NEC,29,6,94.1,113,0.108,48.4,53.4,24.7,19.8,31.3,33,34.7,38.5,48.2,52.5,32.5,36.7,62.5,-18,NA,2009
NA,Houston Christian,ind,29,4,93.9,112,0.107,46.9,55,21.7,19.5,28.4,36.9,32.4,39.7,45.9,55.3,32.3,36.2,70.8,-17,NA,2009
NA,Texas Southern,SWAC,32,7,92.6,111,0.107,49.3,52,25.5,22.1,32,37.5,40,51.2,49.7,51,32.2,36.3,66.8,-18,NA,2009
NA,Monmouth,NEC,31,8,92.9,112,0.103,47,51.3,22.7,19.6,30.4,34.3,33.3,36.7,45.1,50.2,33.5,35.5,64.5,-18,NA,2009
NA,UT Rio Grande Valley,ind,23,6,92.4,111,0.102,48.6,54.1,23.1,21.3,28.6,29.7,39.6,39.5,50.4,53.3,29.5,37,63.3,-1,NA,2009
NA,Howard,MEAC,31,8,91.2,110,0.1,47.2,50.6,23.8,20.3,27,36.7,40.8,34,47,49.5,31.8,35.4,65.8,-18,NA,2009
NA,Mississippi Valley St.,SWAC,32,7,92.5,112,0.099,43.6,54.7,21.8,22.2,33,33.8,32.2,52.2,41.1,55.7,32.4,35.2,67.5,-18,NA,2009
NA,Southern,SWAC,29,8,90.8,110,0.091,45.6,50.7,25.1,19.3,35.9,30.7,37.9,32,44.2,50.8,32.5,33.6,65.4,-17,NA,2009
NA,North Florida,ASun,29,7,88.3,108,0.089,44.2,50.3,23.4,20.3,28.3,36.3,32.8,47,42.2,47.2,33.1,37.4,63.1,-16,NA,2009
NA,Florida A&M,MEAC,31,10,89.6,109,0.088,44.9,51.1,20.3,22.5,26.1,38.4,32.7,39.1,42.9,50.7,32.1,34.7,67,-15,NA,2009
